title$summary$tag$affiliation$summary_zh$tag_zh$url
SwinFIR: Revisiting the SwinIR with Fast Fourier Convolution and  Improved Training for Image Super-Resolution$  Transformer-based methods have achieved impressive image restorationperformance due to their capacities to model long-range dependency compared toCNN-based methods. However, advances like SwinIR adopts the window-based andlocal attention strategy to balance the performance and computational overhead,which restricts employing large receptive fields to capture global informationand establish long dependencies in the early layers. To further improve theefficiency of capturing global information, in this work, we propose SwinFIR toextend SwinIR by replacing Fast Fourier Convolution (FFC) components, whichhave the image-wide receptive field. We also revisit other advanced techniques,i.e, data augmentation, pre-training, and feature ensemble to improve theeffect of image reconstruction. And our feature ensemble method enables theperformance of the model to be considerably enhanced without increasing thetraining and testing time. We applied our algorithm on multiple popularlarge-scale benchmarks and achieved state-of-the-art performance comparing tothe existing methods. For example, our SwinFIR achieves the PSNR of 32.83 dB onManga109 dataset, which is 0.8 dB higher than the state-of-the-art SwinIRmethod.$$$$$http://arxiv.org/pdf/2208.11247v2
Correlation Information Bottleneck: Towards Adapting Pretrained  Multimodal Models for Robust Visual Question Answering$  Benefiting from large-scale pretrained vision language models (VLMs), theperformance of visual question answering (VQA) has approached human oracles.However, finetuning such models on limited data often suffers from overfittingand poor generalization issues, leading to a lack of model robustness. In thispaper, we aim to improve input robustness from an information bottleneckperspective when adapting pretrained VLMs to the downstream VQA task. Inputrobustness refers to the ability of models to defend against visual andlinguistic input variations, as well as shortcut learning involved in inputs.Generally, the representations obtained by pretrained VLMs inevitably containirrelevant and redundant information for a specific downstream task, resultingin statistically spurious correlations and insensitivity to input variations.To encourage representations to converge to a minimal sufficient statistic inmultimodal learning, we propose Correlation Information Bottleneck (CIB), whichseeks a tradeoff between compression and redundancy in representations byminimizing the mutual information (MI) between inputs and representations whilemaximizing the MI between outputs and representations. Moreover, we derive atight theoretical upper bound for the mutual information between multimodalinputs and representations, incorporating different internal correlations thatguide models to learn more robust representations and facilitate modalityalignment. Extensive experiments consistently demonstrate the effectiveness andsuperiority of the proposed CIB in terms of input robustness and accuracy.$$$$$http://arxiv.org/pdf/2209.06954v3
Understanding the Tricks of Deep Learning in Medical Image Segmentation:  Challenges and Future Directions$  Over the past few years, the rapid development of deep learning technologiesfor computer vision has significantly improved the performance of medical imagesegmentation (MedISeg). However, the diverse implementation strategies ofvarious models have led to an extremely complex MedISeg system, resulting in apotential problem of unfair result comparisons. In this paper, we collect aseries of MedISeg tricks for different model implementation phases (i.e.,pre-training model, data pre-processing, data augmentation, modelimplementation, model inference, and result post-processing), andexperimentally explore the effectiveness of these tricks on consistentbaselines. With the extensive experimental results on both the representative2D and 3D medical image datasets, we explicitly clarify the effect of thesetricks. Moreover, based on the surveyed tricks, we also open-sourced a strongMedISeg repository, where each component has the advantage of plug-and-play. Webelieve that this milestone work not only completes a comprehensive andcomplementary survey of the state-of-the-art MedISeg approaches, but alsooffers a practical guide for addressing the future medical image processingchallenges including but not limited to small dataset, class imbalancelearning, multi-modality learning, and domain adaptation. The code and trainingweights have been released at: https://github.com/hust-linyi/seg_trick.$$$$$http://arxiv.org/pdf/2209.10307v2
Make-A-Story: Visual Memory Conditioned Consistent Story Generation$  There has been a recent explosion of impressive generative models that canproduce high quality images (or videos) conditioned on text descriptions.However, all such approaches rely on conditional sentences that containunambiguous descriptions of scenes and main actors in them. Therefore employingsuch models for more complex task of story visualization, where naturallyreferences and co-references exist, and one requires to reason about when tomaintain consistency of actors and backgrounds across frames/scenes, and whennot to, based on story progression, remains a challenge. In this work, weaddress the aforementioned challenges and propose a novel autoregressivediffusion-based framework with a visual memory module that implicitly capturesthe actor and background context across the generated frames.Sentence-conditioned soft attention over the memories enables effectivereference resolution and learns to maintain scene and actor consistency whenneeded. To validate the effectiveness of our approach, we extend the MUGENdataset and introduce additional characters, backgrounds and referencing inmulti-sentence storylines. Our experiments for story generation on the MUGEN,the PororoSV and the FlintstonesSV dataset show that our method not onlyoutperforms prior state-of-the-art in generating frames with high visualquality, which are consistent with the story, but also models appropriatecorrespondences between the characters and the background.$$$$$http://arxiv.org/pdf/2211.13319v3
Pose-disentangled Contrastive Learning for Self-supervised Facial  Representation$  Self-supervised facial representation has recently attracted increasingattention due to its ability to perform face understanding without relying onlarge-scale annotated datasets heavily. However, analytically, currentcontrastive-based self-supervised learning (SSL) still performsunsatisfactorily for learning facial representation. More specifically,existing contrastive learning (CL) tends to learn pose-invariant features thatcannot depict the pose details of faces, compromising the learning performance.To conquer the above limitation of CL, we propose a novel Pose-disentangledContrastive Learning (PCL) method for general self-supervised facialrepresentation. Our PCL first devises a pose-disentangled decoder (PDD) with adelicately designed orthogonalizing regulation, which disentangles thepose-related features from the face-aware features; therefore, pose-related andother pose-unrelated facial information could be performed in individualsubnetworks and do not affect each other\'s training. Furthermore, we introducea pose-related contrastive learning scheme that learns pose-related informationbased on data augmentation of the same image, which would deliver moreeffective face-aware representation for various downstream tasks. We conductedlinear evaluation on four challenging downstream facial understanding tasks,ie, facial expression recognition, face recognition, AU detection and head poseestimation. Experimental results demonstrate that our method significantlyoutperforms state-of-the-art SSL methods. Code is available athttps://github.com/DreamMr/PCL}{https://github.com/DreamMr/PCL$$$$$http://arxiv.org/pdf/2211.13490v2
CLIPVG: Text-Guided Image Manipulation Using Differentiable Vector  Graphics$  Considerable progress has recently been made in leveraging CLIP (ContrastiveLanguage-Image Pre-Training) models for text-guided image manipulation.However, all existing works rely on additional generative models to ensure thequality of results, because CLIP alone cannot provide enough guidanceinformation for fine-scale pixel-level changes. In this paper, we introduceCLIPVG, a text-guided image manipulation framework using differentiable vectorgraphics, which is also the first CLIP-based general image manipulationframework that does not require any additional generative models. Wedemonstrate that CLIPVG can not only achieve state-of-art performance in bothsemantic correctness and synthesis quality, but also is flexible enough tosupport various applications far beyond the capability of all existing methods.$$$$$http://arxiv.org/pdf/2212.02122v2
Neural Volume Super-Resolution$  Neural volumetric representations have become a widely adopted model forradiance fields in 3D scenes. These representations are fully implicit orhybrid function approximators of the instantaneous volumetric radiance in ascene, which are typically learned from multi-view captures of the scene. Weinvestigate the new task of neural volume super-resolution - renderinghigh-resolution views corresponding to a scene captured at low resolution. Tothis end, we propose a neural super-resolution network that operates directlyon the volumetric representation of the scene. This approach allows us toexploit an advantage of operating in the volumetric domain, namely the abilityto guarantee consistent super-resolution across different viewing directions.To realize our method, we devise a novel 3D representation that hinges onmultiple 2D feature planes. This allows us to super-resolve the 3D scenerepresentation by applying 2D convolutional networks on the 2D feature planes.We validate the proposed method by super-resolving multi-view consistent viewson a diverse set of unseen 3D scenes, confirming qualitative and quantitativelyfavorable quality over existing approaches.$neural volume super-resolution$Princeton University, University of Siegen$本文提出了一种神经超分辨率网络，通过直接对场景的体积表示进行操作，实现从低分辨率图像中渲染高分辨率视图的任务。通过在体积域操作，能够保证不同观察方向下的一致性超分辨率，提出了一种多2D特征平面的新型三维表示方法。在多个3D场景上进行了实验验证，并与现有方法进行了比较。$神经体积超分辨率$http://arxiv.org/pdf/2212.04666v2
Diff-Font: Diffusion Model for Robust One-Shot Font Generation$  Font generation is a difficult and time-consuming task, especially in thoselanguages using ideograms that have complicated structures with a large numberof characters, such as Chinese. To solve this problem, few-shot font generationand even one-shot font generation have attracted a lot of attention. However,most existing font generation methods may still suffer from (i) largecross-font gap challenge; (ii) subtle cross-font variation problem; and (iii)incorrect generation of complicated characters. In this paper, we propose anovel one-shot font generation method based on a diffusion model, namedDiff-Font, which can be stably trained on large datasets. The proposed modelaims to generate the entire font library by giving only one sample as thereference. Specifically, a large stroke-wise dataset is constructed, and astroke-wise diffusion model is proposed to preserve the structure and thecompletion of each generated character. To our best knowledge, the proposedDiff-Font is the first work that developed diffusion models to handle the fontgeneration task. The well-trained Diff-Font is not only robust to font gap andfont variation, but also achieved promising performance on difficult charactergeneration. Compared to previous font generation methods, our model reachesstate-of-the-art performance both qualitatively and quantitatively.$$$$$http://arxiv.org/pdf/2212.05895v3
Mask-FPAN: Semi-Supervised Face Parsing in the Wild With De-Occlusion  and UV GAN$  Fine-grained semantic segmentation of a person\'s face and head, includingfacial parts and head components, has progressed a great deal in recent years.However, it remains a challenging task, whereby considering ambiguousocclusions and large pose variations are particularly difficult. To overcomethese difficulties, we propose a novel framework termed Mask-FPAN. It uses ade-occlusion module that learns to parse occluded faces in a semi-supervisedway. In particular, face landmark localization, face occlusionstimations, anddetected head poses are taken into account. A 3D morphable face model combinedwith the UV GAN improves the robustness of 2D face parsing. In addition, weintroduce two new datasets named FaceOccMask-HQ and CelebAMaskOcc-HQ for faceparing work. The proposed Mask-FPAN framework addresses the face parsingproblem in the wild and shows significant performance improvements with MIOUfrom 0.7353 to 0.9013 compared to the state-of-the-art on challenging facedatasets.$Face analysis, face parsing, face landmark, 3D face, generative adversarial network$Department of Computer Science, University of Copenhagen, Denmark；School of Information and Communication Engineering, University of Electronic Science and Technology of China$本文提出了一种新的框架 Mask-FPAN，旨在解决在野外场景中的人脸解析问题。该框架将遮挡人脸进行半监督学习，同时采用3D可形变人脸模型和UV GAN增强人脸分割的鲁棒性。作者还提出了两个新的数据集，FaceOccMask-HQ和CelebAMaskOcc-HQ，以帮助人脸解析工作。实验结果表明，作者提出的 Mask-FPAN 框架在大幅度超越现有最先进的人脸解析算法的同时，有效解决了野外场景中的人脸解析难题。$人脸分析、人脸解析、人脸地标、3D人脸、生成对抗网络$http://arxiv.org/pdf/2212.09098v4
A Large-scale Film Style Dataset for Learning Multi-frequency Driven  Film Enhancement$  Film, a classic image style, is culturally significant to the wholephotographic industry since it marks the birth of photography. However, filmphotography is time-consuming and expensive, necessitating a more efficientmethod for collecting film-style photographs. Numerous datasets that haveemerged in the field of image enhancement so far are not film-specific. Inorder to facilitate film-based image stylization research, we constructFilmSet, a large-scale and high-quality film style dataset. Our datasetincludes three different film types and more than 5000 in-the-wild highresolution images. Inspired by the features of FilmSet images, we propose anovel framework called FilmNet based on Laplacian Pyramid for stylizing imagesacross frequency bands and achieving film style outcomes. Experiments revealthat the performance of our model is superior than state-of-the-art techniques.The link of code and data is \\url{https://github.com/CXH-Research/FilmNet}.$Film-style image enhancement, Dataset, Image processing, Deep learning$University of Macau, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences$本研究构建了一个大规模高质量的电影风格数据集FilmSet，旨在帮助电影风格图像风格化研究。该数据集包含三种不同的电影类型和5000多张高分辨率图片。通过FilmSet图像的特征，提出了基于Laplacian金字塔的新颖框架FilmNet，用于在频率带间对图像进行风格化并实现电影风格的效果。实验证明，我们的模型的性能优于现有技术。$电影风格图像增强、数据集、图像处理、深度学习$http://arxiv.org/pdf/2301.08880v2
MDPose: Real-Time Multi-Person Pose Estimation via Mixture Density Model$  One of the major challenges in multi-person pose estimation is instance-awarekeypoint estimation. Previous methods address this problem by leveraging anoff-the-shelf detector, heuristic post-grouping process or explicit instanceidentification process, hindering further improvements in the inference speedwhich is an important factor for practical applications. From the statisticalpoint of view, those additional processes for identifying instances arenecessary to bypass learning the high-dimensional joint distribution of humankeypoints, which is a critical factor for another major challenge, theocclusion scenario. In this work, we propose a novel framework of single-stageinstance-aware pose estimation by modeling the joint distribution of humankeypoints with a mixture density model, termed as MDPose. Our MDPose estimatesthe distribution of human keypoints\' coordinates using a mixture density modelwith an instance-aware keypoint head consisting simply of 8 convolutionallayers. It is trained by minimizing the negative log-likelihood of the groundtruth keypoints. Also, we propose a simple yet effective training strategy,Random Keypoint Grouping (RKG), which significantly alleviates the underflowproblem leading to successful learning of relations between keypoints. OnOCHuman dataset, which consists of images with highly occluded people, ourMDPose achieves state-of-the-art performance by successfully learning thehigh-dimensional joint distribution of human keypoints. Furthermore, our MDPoseshows significant improvement in inference speed with a competitive accuracy onMS COCO, a widely-used human keypoint dataset, thanks to the proposed muchsimpler single-stage pipeline.$$$$$http://arxiv.org/pdf/2302.08751v2
StyleAdv: Meta Style Adversarial Training for Cross-Domain Few-Shot  Learning$  Cross-Domain Few-Shot Learning (CD-FSL) is a recently emerging task thattackles few-shot learning across different domains. It aims at transferringprior knowledge learned on the source dataset to novel target datasets. TheCD-FSL task is especially challenged by the huge domain gap between differentdatasets. Critically, such a domain gap actually comes from the changes ofvisual styles, and wave-SAN empirically shows that spanning the styledistribution of the source data helps alleviate this issue. However, wave-SANsimply swaps styles of two images. Such a vanilla operation makes the generatedstyles ``real\'\' and ``easy\'\', which still fall into the original set of thesource styles. Thus, inspired by vanilla adversarial learning, a novelmodel-agnostic meta Style Adversarial training (StyleAdv) method together witha novel style adversarial attack method is proposed for CD-FSL. Particularly,our style attack method synthesizes both ``virtual\'\' and ``hard\'\' adversarialstyles for model training. This is achieved by perturbing the original stylewith the signed style gradients. By continually attacking styles and forcingthe model to recognize these challenging adversarial styles, our model isgradually robust to the visual styles, thus boosting the generalization abilityfor novel target datasets. Besides the typical CNN-based backbone, we alsoemploy our StyleAdv method on large-scale pretrained vision transformer.Extensive experiments conducted on eight various target datasets show theeffectiveness of our method. Whether built upon ResNet or ViT, we achieve thenew state of the art for CD-FSL. Code is available athttps://github.com/lovelyqian/StyleAdv-CDFSL.$$$$$http://arxiv.org/pdf/2302.09309v2
One-class Damage Detector Using Deeper Fully-Convolutional Data  Descriptions for Civil Application$  Infrastructure managers must maintain high standards to ensure usersatisfaction during the lifecycle of infrastructures. Surveillance cameras andvisual inspections have enabled progress in automating the detection ofanomalous features and assessing the occurrence of deterioration. However,collecting damage data is typically time consuming and requires repeatedinspections. The one-class damage detection approach has an advantage in thatnormal images can be used to optimize model parameters. Additionally, visualevaluation of heatmaps enables us to understand localized anomalous features.The authors highlight damage vision applications utilized in the robustproperty and localized damage explainability. First, we propose a civil-purposeapplication for automating one-class damage detection reproducing a fullyconvolutional data description (FCDD) as a baseline model. We have obtainedaccurate and explainable results demonstrating experimental studies on concretedamage and steel corrosion in civil engineering. Additionally, to develop amore robust application, we applied our method to another outdoor domain thatcontains complex and noisy backgrounds using natural disaster datasetscollected using various devices. Furthermore, we propose a valuable solution ofdeeper FCDDs focusing on other powerful backbones to improve the performance ofdamage detection and implement ablation studies on disaster datasets. The keyresults indicate that the deeper FCDDs outperformed the baseline FCDD ondatasets representing natural disaster damage caused by hurricanes, typhoons,earthquakes, and four-event disasters.$Anomaly detection, Civil inspection, Damage explanation, Natural disasters, One-class classification$Research Institute for Infrastructure Paradigm Shift, Japan$本文介绍了一种基于深度学习的单类损伤检测器，在损伤数据缺乏的情况下，利用正常数据进行参数优化，并提供可解释的结果，同时进一步深入应用到自然灾害的数据中。该方法表现出了较好的性能。$基于深度全卷积数据描述的单类损伤检测器应用于土木工程，关键词包括异常检测、土木检测、损伤解释、自然灾害、单类分类。$http://arxiv.org/pdf/2303.01732v3
